UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
111187341,650817,2021-01-01 06:22:39,2021-01-01 06:24:39,Rondo Reagana,Sienkiewicza / Piastowska,2
111187353,57483,2021-01-01 06:26:02,2021-01-01 07:32:22,Bezpieczna/Jugosławiańska,Plac Powstańców Śląskich,67
111187357,57193,2021-01-01 06:26:54,2021-01-01 06:40:26,Bałtycka / Żmigrodzka,Kamieńskiego,14
111187358,651295,2021-01-01 06:27:01,2021-01-01 06:40:32,Bałtycka / Żmigrodzka,Kamieńskiego,14
111187360,651329,2021-01-01 06:27:15,2021-01-01 06:27:25,Bałtycka / Żmigrodzka,Bałtycka / Żmigrodzka,1
111187362,651329,2021-01-01 06:28:01,2021-01-01 06:40:48,Bałtycka / Żmigrodzka,Kamieńskiego,13
111187376,57604,2021-01-01 06:32:51,2021-01-01 06:49:59,Grabiszyńska / Stalowa,Ślężna / Skierniewicka,18
111187383,651163,2021-01-01 06:36:22,2021-01-01 07:07:32,Wyszyńskiego / Szczytnicka,Rondo Reagana,32
111187384,650798,2021-01-01 06:36:33,2021-01-01 06:53:31,Powstańców Śląskich (Arkady Wrocławskie),Poniatowskiego / Oleśnicka,17
111187410,651179,2021-01-01 06:46:20,2021-01-01 06:52:15,Poza stacją,Rondo Reagana,6
111187424,57864,2021-01-01 06:49:59,2021-01-01 06:57:05,Legnicka / Zachodnia ,Popowicka / Niedźwiedzia ,8
111187442,57330,2021-01-01 06:54:58,2021-01-01 06:59:26,Zaporoska / Grabiszyńska,Zaporoska / Wielka / Krucza,5
111187448,57291,2021-01-01 06:55:21,2021-01-01 07:09:18,Traugutta / Pułaskiego,Żeromskiego / Daszyńskiego,14
111187461,650369,2021-01-01 06:58:50,2021-01-01 07:09:36,Tarnogajska / Klimasa,Poza stacją,11
111187490,650615,2021-01-01 07:16:06,2021-01-01 07:49:02,Pereca / Grabiszyńska,Jedności Narodowej / Wyszyńskiego,33
111187503,57331,2021-01-01 07:23:38,2021-01-01 07:27:24,Drobnera / Plac Bema,Poniatowskiego / Oleśnicka,4
111187542,650838,2021-01-01 07:42:16,2021-01-01 07:52:22,al. Armii Krajowej / Borowska,Szczęśliwa (Sky Tower),11
111187561,57109,2021-01-01 07:48:35,2021-01-01 08:06:06,Graniczna / Strzegomska,Grabiszyńska / Aleja Hallera,18
111187588,650350,2021-01-01 07:59:03,2021-01-01 08:06:23,Kościuszki / Pułaskiego,Plac Grunwaldzki / Polaka,8
111187610,651369,2021-01-01 08:06:25,2021-01-01 08:19:26,Grabiszyńska / Aleja Hallera,Powstańców Śląskich/Orla,14
111187628,650142,2021-01-01 08:15:50,2021-01-01 08:16:17,Zwycięska / Ołtaszyńska,Zwycięska / Ołtaszyńska,1
111187630,650142,2021-01-01 08:16:49,2021-01-01 08:45:08,Zwycięska / Ołtaszyńska,Poza stacją,29
111187636,651369,2021-01-01 08:20:06,2021-01-01 08:29:42,Powstańców Śląskich/Orla,Borowska (Uniw. Szpital Kliniczny),10
111187655,651198,2021-01-01 08:23:41,2021-01-01 08:33:15,"Kosmonautów / Fieldorfa, szpital wojewódzki",Wojanowska / Arbuzowa ,10
111187656,651036,2021-01-01 08:23:50,2021-01-01 08:33:16,"Kosmonautów / Fieldorfa, szpital wojewódzki",Wojanowska / Arbuzowa ,10
111187688,650089,2021-01-01 08:32:29,2021-01-01 08:46:03,Dyrekcyjna / Borowska (Wroclavia),Traugutta / Kościuszki,14
111187690,651466,2021-01-01 08:32:43,2021-01-01 08:52:09,Legnicka / Młodych Techników,Żmigrodzka / Broniewskiego,20
111187710,57728,2021-01-01 08:42:45,2021-01-01 08:46:12,Zatorska / Królewska - pętla MPK,Poza stacją,4
111187734,650583,2021-01-01 08:52:36,2021-01-01 08:59:22,al. Armii Krajowej / Borowska,Plac Powstańców Śląskich,7
111187784,650661,2021-01-01 09:16:36,2021-01-01 09:20:03,Trymanda / Mińska,Trymanda / Mińska,4
111187816,57197,2021-01-01 09:30:43,2021-01-01 09:40:51,Ślężna / Aleja Wiśniowa,Ślężna / Aleja Wiśniowa,11
111187830,57235,2021-01-01 09:36:06,2021-01-01 09:41:54,Piaskowa / św. Ducha,Piaskowa / św. Ducha,6
111187844,650906,2021-01-01 09:39:49,2021-01-01 09:45:56,Zaporoska / Gajowicka,Poza stacją,7
111187848,651248,2021-01-01 09:42:19,2021-01-01 09:44:41,Piaskowa / św. Ducha,Piaskowa / św. Ducha,3
111187860,651248,2021-01-01 09:46:02,2021-01-01 10:12:20,Piaskowa / św. Ducha,Plac Powstańców Warszawy (Muzeum Narodowe),27
111187919,57231,2021-01-01 10:06:20,2021-01-01 10:10:06,Grabiszyńska / Stalowa,Zaporoska / Grabiszyńska,4
111187952,57098,2021-01-01 10:14:48,2021-01-01 10:17:13,Żmigrodzka / Broniewskiego,Żmigrodzka / Broniewskiego,3
111187953,651246,2021-01-01 10:15:19,2021-01-01 10:29:25,Żmigrodzka / Broniewskiego,Żmigrodzka / Broniewskiego,15
111187960,57231,2021-01-01 10:17:05,2021-01-01 10:19:39,Zaporoska / Grabiszyńska,Pereca / Grabiszyńska,3
111187964,651466,2021-01-01 10:17:25,2021-01-01 10:29:28,Żmigrodzka / Broniewskiego,Żmigrodzka / Broniewskiego,13
111187981,650519,2021-01-01 10:21:32,2021-01-01 10:32:25,al. Armii Krajowej / Bardzka,Borowska (Uniw. Szpital Kliniczny),11
111187999,650755,2021-01-01 10:25:30,2021-01-01 10:37:13,Poza stacją,Rondo Reagana,12
111188028,650519,2021-01-01 10:32:57,2021-01-01 10:41:46,Borowska (Uniw. Szpital Kliniczny),Świeradowska / Krynicka,9
111188039,57973,2021-01-01 10:36:01,2021-01-01 10:42:13,Plac Grunwaldzki (DS Ołówek),Nowowiejska / Wyszyńskiego,7
111188067,650288,2021-01-01 10:42:38,2021-01-01 10:54:20,Kościuszki / Komuny Paryskiej / Zgodna,Plac Dominikański (Galeria Dominikańska),12
111188160,651394,2021-01-01 11:01:29,2021-01-01 11:38:29,Bacciarellego,Kasprowicza / Syrokomli,37
111188170,650199,2021-01-01 11:02:28,2021-01-01 11:38:11,Bacciarellego,Kasprowicza / Syrokomli,36
111188190,651284,2021-01-01 11:06:34,2021-01-01 11:13:18,Marca Polo (Olimpia Port),Mickiewicza / pętla tramwajowa,7
111188248,57442,2021-01-01 11:15:27,2021-01-01 11:29:56,Klecińska / Duńska,Rogowska/Sukielicka,15
111188249,57973,2021-01-01 11:15:30,2021-01-01 11:29:57,Nowowiejska / Wyszyńskiego,Dworzec Główny ,15
111188251,57519,2021-01-01 11:15:40,2021-01-01 11:29:56,Klecińska / Duńska,Rogowska/Sukielicka,15
111188271,651151,2021-01-01 11:19:03,2021-01-01 11:35:58,Kiełczowska,Poza stacją,17
111188273,651305,2021-01-01 11:19:14,2021-01-01 11:30:16,Poza stacją,Bezpieczna/Jugosławiańska,12
111188346,651457,2021-01-01 11:29:19,2021-01-01 11:42:27,Grota-Roweckiego / Parafialna,al. Armii Krajowej / Borowska,14
111188418,57187,2021-01-01 11:39:20,2021-01-01 11:53:58,al. Armii Krajowej / Bardzka,Kościuszki / Komuny Paryskiej / Zgodna,15
111188424,651394,2021-01-01 11:40:21,2021-01-01 11:47:59,Kasprowicza / Syrokomli,Kamieńskiego / Jutrosińska,8
111188425,651199,2021-01-01 11:40:26,2021-01-01 11:40:39,Piaskowa / św. Ducha,Piaskowa / św. Ducha,1
111188427,650199,2021-01-01 11:40:33,2021-01-01 11:48:02,Kasprowicza / Syrokomli,Kamieńskiego / Jutrosińska,8
111188432,57235,2021-01-01 11:41:03,2021-01-01 11:46:10,Piaskowa / św. Ducha,Wyszyńskiego / Szczytnicka,6
111188443,651344,2021-01-01 11:41:56,2021-01-01 11:58:03,Piławska,Zwycięska / Ołtaszyńska,17
111188447,57143,2021-01-01 11:42:41,2021-01-01 11:53:59,al. Armii Krajowej / Borowska,"Dworzec Główny, południe",12
111188483,651391,2021-01-01 11:48:07,2021-01-01 11:56:43,Poza stacją,"Paprotna / Obornicka, zajezdnia MPK",9
111188512,650012,2021-01-01 11:51:40,2021-01-01 12:09:48,Jagiełły / Dmowskiego ,Poniatowskiego / Oleśnicka,19
111188517,57385,2021-01-01 11:51:47,2021-01-01 12:10:25,Kasprowicza / Syrokomli,Na Grobli (PWr - Geocentrum),19
111188537,57678,2021-01-01 11:53:25,2021-01-01 12:06:28,Grota-Roweckiego / Parafialna,al. Armii Krajowej / Borowska,14
111188653,651144,2021-01-01 12:07:12,2021-01-01 12:08:05,Dworzec Główny ,Dworzec Główny ,1
111188663,651165,2021-01-01 12:08:25,2021-01-01 12:12:25,Bezpieczna / Obornicka,"Paprotna / Obornicka, zajezdnia MPK",4
111188680,57556,2021-01-01 12:09:42,2021-01-01 12:22:07,Nyska / Piękna,Plac Kościuszki (Renoma),13
111188682,57331,2021-01-01 12:10:10,2021-01-01 12:16:20,Poniatowskiego / Oleśnicka,Piaskowa / św. Ducha,7
111188702,57824,2021-01-01 12:12:20,2021-01-01 12:12:54,Legnicka (Park Magnolia),Legnicka (Park Magnolia),1
111188712,57041,2021-01-01 12:13:04,2021-01-01 12:47:56,Legnicka (Park Magnolia),Legnicka (Park Magnolia),35
111188742,651199,2021-01-01 12:16:33,2021-01-01 12:16:43,Piaskowa / św. Ducha,Piaskowa / św. Ducha,1
111188866,57296,2021-01-01 12:28:25,2021-01-01 12:28:46,Kościuszki / Pułaskiego,Kościuszki / Pułaskiego,1
111188875,57795,2021-01-01 12:29:06,2021-01-01 12:41:46,Popowicka ,Plac Jana Pawła II (Akademia Muzyczna),13
111188894,651344,2021-01-01 12:31:14,2021-01-01 13:06:45,Zwycięska / Ołtaszyńska,Wyszyńskiego / Szczytnicka,36
111188900,57609,2021-01-01 12:31:41,2021-01-01 12:47:41,Pilczycka / Kozanowska,Legnicka / Zachodnia ,16
111188913,651159,2021-01-01 12:32:58,2021-01-01 12:36:17,Wita Stwosza / Szewska,Poza stacją,4
111188917,650748,2021-01-01 12:33:14,2021-01-01 12:41:54,Jagiełły / Dmowskiego ,Jagiełły / Dmowskiego ,9
111188986,651159,2021-01-01 12:39:51,2021-01-01 12:57:47,Poza stacją,Poza stacją,18
111189042,651133,2021-01-01 12:44:45,2021-01-01 12:45:28,Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),Plac Grunwaldzki (DS Ołówek),1
111189047,57874,2021-01-01 12:45:14,2021-01-01 13:16:20,Borowska (Uniw. Szpital Kliniczny),Grota-Roweckiego / Parafialna,32
111189055,650155,2021-01-01 12:45:43,2021-01-01 12:56:42,Plac Grunwaldzki (DS Ołówek),al. Kochanowskiego / Kopernika,11
111189068,650364,2021-01-01 12:46:50,2021-01-01 12:58:19,Hallera / Odkrywców,Racławicka / Rymarska,12
111189079,57056,2021-01-01 12:47:43,2021-01-01 12:56:05,Plac Powstańców Warszawy (Muzeum Narodowe),Żeromskiego / Daszyńskiego,9
111189107,57041,2021-01-01 12:50:18,2021-01-01 12:56:58,Legnicka (Park Magnolia),Poza stacją,7
111189119,57824,2021-01-01 12:50:55,2021-01-01 14:15:42,Legnicka (Park Magnolia),Legnicka (Park Magnolia),85
111189156,57176,2021-01-01 12:53:31,2021-01-01 12:56:19,Poza stacją,Zachodnia / Poznańska,3
111189186,651144,2021-01-01 12:56:45,2021-01-01 13:01:14,Plac Dominikański (Galeria Dominikańska),Plac Dominikański (Galeria Dominikańska),5
111189193,57041,2021-01-01 12:57:50,2021-01-01 13:00:04,Poza stacją,Śrubowa / Strzegomska,3
111189196,650360,2021-01-01 12:57:53,2021-01-01 13:15:48,Kościuszki / Komuny Paryskiej / Zgodna,Plac Dominikański (Galeria Dominikańska),18
111189198,651193,2021-01-01 12:58:00,2021-01-01 13:08:47,Piłsudskiego 13 od Jump Hall,Kościuszki / Pułaskiego,11
111189203,651253,2021-01-01 12:58:22,2021-01-01 13:05:08,Plac Dominikański (Galeria Dominikańska),Walońska (Angel Poland Group),7
111189228,651159,2021-01-01 13:00:35,2021-01-01 13:11:02,Poza stacją,Plac Staszica,11
111189290,650270,2021-01-01 13:05:27,2021-01-01 13:11:08,Krakowska / Leroy Merlin,Krakowska / Leroy Merlin,6
111189301,650755,2021-01-01 13:05:57,2021-01-01 13:14:36,Rondo Reagana,Poza stacją,9
111189327,650847,2021-01-01 13:07:36,2021-01-01 13:45:13,al. Armii Krajowej / Tarnogajska,Traugutta / Pułaskiego,38
111189336,651257,2021-01-01 13:08:23,2021-01-01 13:16:03,Zaporoska / Wielka / Krucza,Poza stacją,8
111189347,650719,2021-01-01 13:09:08,2021-01-01 14:48:07,Krakowska / Leroy Merlin,Krakowska / Leroy Merlin,99
111189379,57378,2021-01-01 13:11:46,2021-01-01 14:47:57,Krakowska / Leroy Merlin,Krakowska / Leroy Merlin,97
111189392,651159,2021-01-01 13:12:49,2021-01-01 13:17:47,Plac Staszica,Jagiełły / Dmowskiego ,5
111189406,57182,2021-01-01 13:14:27,2021-01-01 13:16:57,Reymonta / Kleczkowska,Plac Staszica,3
111189429,650970,2021-01-01 13:16:19,2021-01-01 13:28:16,Aleja Kromera,Jedności Narodowej / Wyszyńskiego,12
111189438,57291,2021-01-01 13:16:45,2021-01-01 13:21:36,Żeromskiego / Daszyńskiego,Nowowiejska / Górnickiego,5
111189469,651257,2021-01-01 13:19:11,2021-01-01 13:26:57,Poza stacją,Poza stacją,8
111189500,651456,2021-01-01 13:20:54,2021-01-01 13:21:59,Przyjaźni / Karkonoska,Przyjaźni / Karkonoska,2
111189502,57620,2021-01-01 13:20:58,2021-01-01 14:10:08,Przyjaźni / Karkonoska,Zwycięska / Ołtaszyńska,50
111189516,650755,2021-01-01 13:22:05,2021-01-01 13:35:52,Poza stacją,Rondo Reagana,14
111189521,650906,2021-01-01 13:22:35,2021-01-01 13:25:00,Poza stacją,Powstańcow Śląskich / Aleja Hallera,3
111189525,57569,2021-01-01 13:23:08,2021-01-01 13:23:35,Rogowska/Sukielicka,Rogowska/Sukielicka,1
111189526,650671,2021-01-01 13:23:12,2021-01-01 14:19:00,Przyjaźni / Karkonoska,Zwycięska / Ołtaszyńska,56
111189534,650360,2021-01-01 13:23:39,2021-01-01 13:43:18,Plac Dominikański (Galeria Dominikańska),Poza stacją,20
111189564,57556,2021-01-01 13:25:26,2021-01-01 13:41:26,Plac Kościuszki (Renoma),al. Armii Krajowej / Borowska,16
111189598,650059,2021-01-01 13:27:13,2021-01-01 13:37:22,Drzewieckiego / Dedala,Strzegomska / Estońska,11
111189601,651218,2021-01-01 13:27:18,2021-01-01 13:29:05,Poza stacją,Powstańcow Śląskich / Aleja Hallera,2
111189605,650946,2021-01-01 13:27:30,2021-01-01 13:37:25,Drzewieckiego / Dedala,Strzegomska / Estońska,10
111189621,651257,2021-01-01 13:28:36,2021-01-01 13:34:03,Poza stacją,Szczęśliwa (Sky Tower),6
111189679,650643,2021-01-01 13:32:08,2021-01-01 13:33:40,Poza stacją,Powstańcow Śląskich / Aleja Hallera,2
111189755,651302,2021-01-01 13:36:35,2021-01-01 13:38:00,Olszewskiego / Spółdzielcza,Olszewskiego / Spółdzielcza,2
111189779,651140,2021-01-01 13:38:19,2021-01-01 13:54:55,Olszewskiego / Spółdzielcza,Poza stacją,17
111189789,650582,2021-01-01 13:38:49,2021-01-01 13:41:33,Poza stacją,Powstańcow Śląskich / Aleja Hallera,3
111189822,651457,2021-01-01 13:41:48,2021-01-01 13:47:27,al. Armii Krajowej / Borowska,Borowska (Uniw. Szpital Kliniczny),6
111189849,651159,2021-01-01 13:43:22,2021-01-01 13:47:45,Jagiełły / Dmowskiego ,Drobnera / Dubois,5
111189885,57240,2021-01-01 13:45:38,2021-01-01 13:48:08,Poza stacją,Powstańcow Śląskich / Aleja Hallera,3
111189886,57197,2021-01-01 13:45:40,2021-01-01 13:46:15,Ślężna / Aleja Wiśniowa,Ślężna / Aleja Wiśniowa,1
111189904,651381,2021-01-01 13:46:28,2021-01-01 13:53:21,Gliniana / Gajowa,Kościuszki / Pułaskiego,7
111189918,57182,2021-01-01 13:47:41,2021-01-01 13:55:37,Plac Staszica,Jagiełły / Dmowskiego ,8
111189919,651369,2021-01-01 13:47:48,2021-01-01 13:59:46,Borowska (Uniw. Szpital Kliniczny),Kutrzeby / Hubala,12
111189953,650360,2021-01-01 13:50:24,2021-01-01 13:58:53,Poza stacją,Jagiełły / Dmowskiego ,9
